Date,Close
8/8/2019,33.94
8/9/2019,33.81
8/12/2019,33.7
8/13/2019,34.37
8/14/2019,32.76
8/15/2019,33.08
8/16/2019,33.62
8/19/2019,33.71
8/20/2019,33.33
8/21/2019,33.85
8/22/2019,33.39
8/23/2019,32.61
8/26/2019,32.89
8/27/2019,32.9
8/28/2019,33.01
8/29/2019,33.32
8/30/2019,33.46
9/3/2019,33.47
9/4/2019,33.66
9/5/2019,34.07
9/6/2019,34.34
9/9/2019,34.4
9/10/2019,34.72
9/11/2019,34.77
9/12/2019,34.7
9/13/2019,34.9
9/16/2019,35.16
9/17/2019,35.25
9/18/2019,35.19
9/19/2019,35.2
9/20/2019,35.34
9/23/2019,35.15
9/24/2019,35.37
9/25/2019,35.31
9/26/2019,35.73
9/27/2019,36.05
9/30/2019,35.08
10/1/2019,35.14
10/2/2019,34.14
10/3/2019,34.36
10/4/2019,34.8
10/7/2019,34.8
10/8/2019,34.78
10/9/2019,35.17
10/10/2019,35.66
10/11/2019,35.91
10/14/2019,35.62
10/15/2019,35.69
10/16/2019,35.68
10/17/2019,35.74
10/18/2019,36.11
10/21/2019,36.21
10/22/2019,36.27
10/23/2019,36.56
10/24/2019,36.59
10/25/2019,36.48
10/28/2019,36.64
10/29/2019,36.43
10/30/2019,36.43
10/31/2019,36.41
11/1/2019,36.87
11/4/2019,36.88
11/5/2019,36.92
11/6/2019,36.91
11/7/2019,36.73
11/8/2019,37.47
11/11/2019,37.76
11/12/2019,38.26
11/13/2019,38.73
11/14/2019,37.72
11/15/2019,38.18
11/18/2019,38.06
11/19/2019,37.62
11/20/2019,37.71
11/21/2019,37.76
11/22/2019,37.41
11/25/2019,37.78
11/26/2019,37.72
11/27/2019,37.95
11/29/2019,38
12/2/2019,37.83
12/3/2019,37.97
12/4/2019,38.26
12/5/2019,38.47
12/6/2019,38.51
12/9/2019,38.8
12/10/2019,38.71
12/11/2019,38.65
12/12/2019,38.26
12/13/2019,38.31
12/16/2019,38.63
12/17/2019,38.53
12/18/2019,39.07
12/19/2019,39.11
12/20/2019,39.42
12/23/2019,39.57
12/24/2019,39.56
12/26/2019,39.67
12/27/2019,39.59
12/30/2019,39.55
